gene_symbol,split,fraction_bio_first,training_set_size,median_rank,test_set_size,iteration
a085r,protein,0.0,1.0,0.20391197430492825,1.0,2.6666666666666665
a085r,random,0.0,0.0,0.021739130434782608,1.0,3.0
abcb1a,random,0.0,0.0,0.5,1.0,1.0
abl1,protein,0.5114942528735632,24.0,0.024752475247524754,8.5,2.5
abl1,random,0.375,26.25,0.1801980198019802,2.75,2.25
abl1,scaffold,0.44000000000000006,25.6,0.08487763298388662,3.6,2.0
abl2,protein,1.0,1.0,0.0,1.5,2.0
abl2,random,1.0,1.0,0.0,1.0,3.0
abl2,scaffold,1.0,1.0,0.0,1.0,0.0
abo,protein,0.0,0.0,0.44554455445544555,4.0,1.0
abo,random,0.0,4.333333333333333,0.10231023102310231,1.0,2.0
abo,scaffold,0.0,3.5,0.20477266173219266,1.5,2.0
acacb,protein,0.0,1.0,0.5599999999999999,1.0,2.0
acacb,random,0.0,1.0,0.18811881188118812,1.0,2.0
acacb,scaffold,1.0,1.0,0.0,1.0,2.0
ace,protein,0.375,1.0,0.12376237623762376,8.0,4.0
ace,random,0.375,10.25,0.09034653465346534,1.25,2.25
ace,scaffold,0.0,12.0,0.10314841007910314,1.0,3.0
ache,protein,0.3235294117647059,48.5,0.48436368027046606,18.0,2.5
ache,random,0.32999999999999996,70.6,0.12244224422442244,7.2,2.0
ache,scaffold,0.28714285714285714,71.6,0.298019801980198,5.8,2.0
ack2,protein,0.14285714285714285,13.0,0.4729437229437229,7.5,2.5
ack2,random,0.13333333333333333,19.2,0.3934671834530392,2.6,2.0
ack2,scaffold,0.2222222222222222,21.666666666666668,0.07358043496657359,1.6666666666666667,1.6666666666666667
acly,protein,0.25,1.25,0.4930555555555556,1.0,1.75
acmsd,protein,0.0,0.0,0.5,1.0,1.5
acp1,protein,0.0,1.0,0.771875,2.0,0.0
acp1,random,0.0,2.0,0.49019607843137253,1.0,4.0
acp1,scaffold,0.0,2.0,0.22,1.0,3.0
acp3,protein,0.0,0.0,0.15841584158415842,1.0,2.0
acp3,random,0.0,0.0,0.693069306930693,1.0,2.0
acta1,protein,0.3333333333333333,0.0,0.009900990099009901,3.0,0.0
acta1,random,0.0,0.0,0.5643564356435643,1.0,1.0
actb,protein,0.5,1.0,0.10294117647058823,1.0,2.5
acvr1,protein,0.4,0.0,0.04950495049504951,5.0,4.0
acvr1,random,0.16666666666666666,3.0,0.40297029702970294,1.3333333333333333,3.0
acvr1,scaffold,0.25,3.5,0.12128712871287128,1.5,2.5
ada,protein,1.0,14.0,0.0,2.0,1.5
ada,random,0.6,12.4,0.031683168316831684,1.8,2.0
ada,scaffold,0.1875,12.75,0.11014851485148516,2.25,2.0
adam17,random,0.16666666666666666,13.25,0.1374095742907624,2.25,2.25
adam17,scaffold,0.125,11.5,0.33539603960396036,2.25,1.5
adamts1,random,1.0,1.0,0.0,1.0,1.3333333333333333
adamts1,scaffold,1.0,1.0,0.0,1.0,0.0
adamts4,protein,0.5,3.0,0.07425742574257425,1.0,1.5
adamts4,random,0.3333333333333333,3.0,0.026402640264026403,1.0,1.3333333333333333
adamts4,scaffold,0.0,3.0,0.024752475247524754,1.0,1.5
adamts5,protein,0.15,2.5,0.01485148514851485,3.0,2.5
adamts5,random,0.0,4.0,0.01485148514851485,1.0,2.0
adamts5,scaffold,0.6666666666666666,2.6666666666666665,0.0297029702970297,1.3333333333333333,2.3333333333333335
adcy10,random,0.6666666666666666,7.333333333333333,0.022222222222222223,2.3333333333333335,1.3333333333333333
adcy10,scaffold,0.0,9.333333333333334,0.7391953481062391,1.3333333333333333,2.0
adok,protein,0.22857142857142856,4.2,0.18495049504950495,3.4,2.0
adok,random,0.0,6.0,0.19230769230769232,1.0,3.0
adok,scaffold,0.5,5.0,0.26732673267326734,2.0,2.0
adora2a,protein,0.4666666666666667,12.2,0.18436311640872827,3.0,2.0
adora2a,random,0.2,11.6,0.26030867792661616,2.0,2.0
adora2a,scaffold,0.375,11.75,0.18366336633663366,1.25,2.25
adrb2,protein,0.0,7.0,0.40990099009900993,1.0,3.0
adrb2,random,0.0,5.75,0.34083187730537756,1.5,1.5
adrb2,scaffold,0.5,6.0,0.14356435643564358,1.5,0.5
ak,protein,0.75,0.5,0.08,1.0,1.5
